"term","estimate","std.error","statistic","p.value","std_error_type","model"
"(Intercept)",-25.268858277929,177.809631205366,-0.142111864844622,0.887762670184836,"OLS","full_levels"
"broad_money_growth",1.0675566681869,0.0469280432942348,22.7487999338352,2.39081801155403e-23,"OLS","full_levels"
"fx_depr",2.02005075871899,0.597640104580101,3.3800455211055,0.00172080679056517,"OLS","full_levels"
"tot_growth",-2.1695434208163,2.48745669953077,-0.872193442091096,0.388727775532815,"OLS","full_levels"
"gov_cons_gdp",-1.11336593927424,14.9429640206543,-0.074507703942493,0.941007789740857,"OLS","full_levels"
"(Intercept)",-25.268858277929,89.0138757819863,-0.283875497566444,0.778088344179691,"HC1","full_levels"
"broad_money_growth",1.0675566681869,0.0951445620721112,11.2203645162378,1.81550796373193e-13,"HC1","full_levels"
"fx_depr",2.02005075871899,1.5829854158976,1.27610193905265,0.209872123789023,"HC1","full_levels"
"tot_growth",-2.1695434208163,2.18933918316561,-0.990958110784513,0.328142667211973,"HC1","full_levels"
"gov_cons_gdp",-1.11336593927424,7.40453636402285,-0.1503626810024,0.881295209842382,"HC1","full_levels"
"(Intercept)",-25.268858277929,103.361679275639,-0.24447027617018,0.808217301353231,"Newey-West","full_levels"
"broad_money_growth",1.0675566681869,0.0843540445830295,12.6556666424704,5.18611396666874e-15,"Newey-West","full_levels"
"fx_depr",2.02005075871899,1.24119983765036,1.62749840714048,0.112118602734603,"Newey-West","full_levels"
"tot_growth",-2.1695434208163,2.41218801623289,-0.899408920953215,0.374251356382932,"Newey-West","full_levels"
"gov_cons_gdp",-1.11336593927424,8.73083298929981,-0.127521158707163,0.899218485361666,"Newey-West","full_levels"
"(Intercept)",-14.2649185901681,12.4716727013264,-1.1437855155268,0.261757525427022,"OLS","no_hyper"
"broad_money_growth",0.667872704858205,0.0975456042607172,6.84677397736071,1.3446987459313e-07,"OLS","no_hyper"
"fx_depr",0.429562123310506,0.175166006337942,2.45231442042337,0.0202293557804078,"OLS","no_hyper"
"tot_growth",-0.358774643472044,0.167360348705091,-2.14372547767721,0.0402806638107698,"OLS","no_hyper"
"gov_cons_gdp",0.870028380301905,1.02379041294802,0.849811025087295,0.402161421968288,"OLS","no_hyper"
"(Intercept)",-14.2649185901681,18.3099025967311,-0.779082166866078,0.442033932436329,"HC1","no_hyper"
"broad_money_growth",0.667872704858205,0.117776708505377,5.67066878785895,3.51152346995737e-06,"HC1","no_hyper"
"fx_depr",0.429562123310506,0.17237802033752,2.49197735575229,0.0184564271092962,"HC1","no_hyper"
"tot_growth",-0.358774643472044,0.253064548238444,-1.4177198899231,0.16657625416733,"HC1","no_hyper"
"gov_cons_gdp",0.870028380301905,1.51345351262979,0.57486296938856,0.569670426065926,"HC1","no_hyper"
"(Intercept)",-14.2649185901681,16.2292114329226,-0.878965601571393,0.386406163386705,"Newey-West","no_hyper"
"broad_money_growth",0.667872704858205,0.123514939006987,5.40722207554526,7.37709045508168e-06,"Newey-West","no_hyper"
"fx_depr",0.429562123310506,0.164255345329001,2.61520940125327,0.0138200040884781,"Newey-West","no_hyper"
"tot_growth",-0.358774643472044,0.23358299580014,-1.53596216301216,0.135028413853755,"Newey-West","no_hyper"
"gov_cons_gdp",0.870028380301905,1.32554438181492,0.656355526256068,0.516598651814834,"Newey-West","no_hyper"
"(Intercept)",2.16240648367503,443.939275858014,0.00487095105405055,0.996219818512353,"OLS","pre_1995"
"broad_money_growth",1.00293057427969,0.0919848380334327,10.9032161791182,1.73442686592213e-06,"OLS","pre_1995"
"fx_depr",3.06192008517091,1.37202770513479,2.23167511392936,0.0525528596266232,"OLS","pre_1995"
"tot_growth",-10.5043116644418,7.36570149943478,-1.42611150686026,0.187587431948708,"OLS","pre_1995"
"gov_cons_gdp",-20.1413731490077,38.0361921237234,-0.529531796545042,0.609248332320652,"OLS","pre_1995"
"(Intercept)",2.16240648367503,257.993039432855,0.00838164660732182,0.993495341668174,"HC1","pre_1995"
"broad_money_growth",1.00293057427969,0.125348881887312,8.00111304687444,2.21102274248175e-05,"HC1","pre_1995"
"fx_depr",3.06192008517091,2.16751311112003,1.41264201331115,0.191394744470598,"HC1","pre_1995"
"tot_growth",-10.5043116644418,7.16112048155553,-1.4668530841643,0.17646818960959,"HC1","pre_1995"
"gov_cons_gdp",-20.1413731490077,21.4017468661622,-0.941108839150543,0.371221278731228,"HC1","pre_1995"
"(Intercept)",2.16240648367503,147.787426212417,0.0146318705122246,0.988645097100188,"Newey-West","pre_1995"
"broad_money_growth",1.00293057427969,0.0913908785594607,10.9740773924957,1.64228068783954e-06,"Newey-West","pre_1995"
"fx_depr",3.06192008517091,1.44505430529881,2.11889620614484,0.063150723571066,"Newey-West","pre_1995"
"tot_growth",-10.5043116644418,6.91405786594763,-1.51926869402938,0.163013145554254,"Newey-West","pre_1995"
"gov_cons_gdp",-20.1413731490077,13.9080035730492,-1.44818579052119,0.181489606496743,"Newey-West","pre_1995"
"(Intercept)",10.1315575373126,4.07069938108172,2.4888984886475,0.0204893179056886,"OLS","post_1995"
"broad_money_growth",0.100762523003135,0.0394561421029131,2.55378548516773,0.0177488070115318,"OLS","post_1995"
"fx_depr",0.153215609975733,0.085094212517942,1.80054089981064,0.0849048979191796,"OLS","post_1995"
"tot_growth",-0.0810642984988915,0.0494760450371566,-1.63845550787279,0.114935979802553,"OLS","post_1995"
"gov_cons_gdp",-0.655089898791467,0.335559114373896,-1.95223396036721,0.0631880007409719,"OLS","post_1995"
"(Intercept)",10.1315575373126,4.2290904755908,2.39568238035798,0.025119197060692,"HC1","post_1995"
"broad_money_growth",0.100762523003135,0.0387673108330788,2.59916204755573,0.016039944228234,"HC1","post_1995"
"fx_depr",0.153215609975733,0.10143073978207,1.51054414376673,0.144522336999512,"HC1","post_1995"
"tot_growth",-0.0810642984988915,0.049526372057886,-1.63679056491649,0.11528580174025,"HC1","post_1995"
"gov_cons_gdp",-0.655089898791467,0.378047589456829,-1.73282390117256,0.096516774203482,"HC1","post_1995"
"(Intercept)",10.1315575373126,4.05315552018776,2.49967154895731,0.0200086120978876,"Newey-West","post_1995"
"broad_money_growth",0.100762523003135,0.0413734511126628,2.43543915949267,0.0230373917986186,"Newey-West","post_1995"
"fx_depr",0.153215609975733,0.0873759048135005,1.75352244194511,0.0928313529215977,"Newey-West","post_1995"
"tot_growth",-0.0810642984988915,0.0368957936884144,-2.19711491189161,0.0383517432915522,"Newey-West","post_1995"
"gov_cons_gdp",-0.655089898791467,0.368807325446843,-1.7762388477446,0.0889258996311877,"Newey-West","post_1995"
"(Intercept)",-162.945946110269,178.109315960669,-0.914864813395001,0.366705632331017,"OLS","interaction"
"broad_money_growth",1.00052661634806,0.0505023109926078,19.8115016260247,2.99641952624261e-20,"OLS","interaction"
"post_stabilizationTRUE",212.940640548483,79.7969197913986,2.66853208250572,0.0115897434261921,"OLS","interaction"
"fx_depr",3.28948274330851,0.730774278089022,4.5013663479105,7.53694920137146e-05,"OLS","interaction"
"tot_growth",-3.91831345605728,2.43819501353286,-1.60705498711515,0.117290906552719,"OLS","interaction"
"gov_cons_gdp",-3.23178656510291,14.4597986534043,-0.223501491450023,0.824482707760118,"OLS","interaction"
"broad_money_growth:post_stabilizationTRUE",-0.882534281556753,2.48447475835195,-0.355219661053096,0.724619277954021,"OLS","interaction"
"post_stabilizationTRUE:fx_depr",-4.90418545041963,5.25053402112017,-0.934035553468017,0.356872023951618,"OLS","interaction"
"(Intercept)",-162.945946110269,153.302578427121,-1.06290414539721,0.295316835519378,"HC1","interaction"
"broad_money_growth",1.00052661634806,0.125012834876793,8.00339115046969,2.50889445859911e-09,"HC1","interaction"
"post_stabilizationTRUE",212.940640548483,121.860505062173,1.74741308055338,0.0895934799223189,"HC1","interaction"
"fx_depr",3.28948274330851,2.19565102552671,1.49818104291842,0.143314001558997,"HC1","interaction"
"tot_growth",-3.91831345605728,2.78499543000043,-1.40693712235523,0.168521854181679,"HC1","interaction"
"gov_cons_gdp",-3.23178656510291,7.93026939180764,-0.407525445282036,0.68617678040767,"HC1","interaction"
"broad_money_growth:post_stabilizationTRUE",-0.882534281556753,0.62797251251107,-1.40537087846054,0.168983165663378,"HC1","interaction"
"post_stabilizationTRUE:fx_depr",-4.90418545041963,3.42657052321906,-1.43122268086648,0.161494636701869,"HC1","interaction"
"(Intercept)",-162.945946110269,133.023350382444,-1.22494243034623,0.22901586188282,"Newey-West","interaction"
"broad_money_growth",1.00052661634806,0.101159824455249,9.89055310975428,1.54514743711092e-11,"Newey-West","interaction"
"post_stabilizationTRUE",212.940640548483,104.029033822936,2.04693471354277,0.0484563981085324,"Newey-West","interaction"
"fx_depr",3.28948274330851,1.65116855537192,1.99221498774701,0.0544265609204158,"Newey-West","interaction"
"tot_growth",-3.91831345605728,2.92884697321611,-1.33783481755438,0.189830370163496,"Newey-West","interaction"
"gov_cons_gdp",-3.23178656510291,6.98660392753455,-0.462569024754112,0.646620163052023,"Newey-West","interaction"
"broad_money_growth:post_stabilizationTRUE",-0.882534281556753,0.489790723325319,-1.80185993635199,0.0804404310471262,"Newey-West","interaction"
"post_stabilizationTRUE:fx_depr",-4.90418545041963,3.14623496492347,-1.55874736155916,0.128316960638482,"Newey-West","interaction"
"(Intercept)",2.82997724861306,0.924183285048296,3.06213853290494,0.00408085261954058,"OLS","log_outcome"
"broad_money_growth",-0.00087422532814987,0.000243913183546638,-3.58416595379606,0.000970699157056502,"OLS","log_outcome"
"fx_depr",0.0279335466633562,0.00310629402571291,8.99256362473455,7.63457989573523e-11,"OLS","log_outcome"
"tot_growth",-0.0325166428940175,0.0129288041845866,-2.51505417127309,0.0163751942923249,"OLS","log_outcome"
"gov_cons_gdp",-0.0897010376498769,0.0776675452468406,-1.15493591776065,0.255521290237667,"OLS","log_outcome"
"(Intercept)",2.82997724861306,0.838542038194796,3.37487820492029,0.00174562722652863,"HC1","log_outcome"
"broad_money_growth",-0.00087422532814987,0.000175984058247022,-4.96763932402759,1.55889732568505e-05,"HC1","log_outcome"
"fx_depr",0.0279335466633562,0.00305757306581663,9.13585581180397,5.07755993206606e-11,"HC1","log_outcome"
"tot_growth",-0.0325166428940175,0.0114400883498214,-2.84234193825305,0.00724611956552446,"HC1","log_outcome"
"gov_cons_gdp",-0.0897010376498769,0.0706460208565352,-1.26972526636762,0.212110505871157,"HC1","log_outcome"
"(Intercept)",2.82997724861306,0.967182340839257,2.9260017776559,0.00583746816567794,"Newey-West","log_outcome"
"broad_money_growth",-0.00087422532814987,0.000212960246915362,-4.10511041761385,0.00021373231132286,"Newey-West","log_outcome"
"fx_depr",0.0279335466633562,0.00351840107343354,7.93927300508022,1.65208159210129e-09,"Newey-West","log_outcome"
"tot_growth",-0.0325166428940175,0.0102735330122578,-3.16508866572197,0.00309788296137648,"Newey-West","log_outcome"
"gov_cons_gdp",-0.0897010376498769,0.0816330930903128,-1.09883178811611,0.278940375747668,"Newey-West","log_outcome"
"(Intercept)",22.8512299862441,29.5227556856107,0.77402090203191,0.443836289483126,"OLS","winsorized"
"broad_money_w",0.853828921268828,0.0887882860564678,9.61645909828475,1.31778695548284e-11,"OLS","winsorized"
"fx_depr_w",0.727325800651817,0.229945947880485,3.16302943085497,0.0031151297194601,"OLS","winsorized"
"tot_growth",-0.224288545407607,0.41055911749881,-0.546300242396292,0.588138917730056,"OLS","winsorized"
"gov_cons_gdp",-2.97344975647391,2.47094531829624,-1.20336526043569,0.236478222960198,"OLS","winsorized"
"(Intercept)",22.8512299862441,45.5889527816767,0.501244897983894,0.619168066915071,"HC1","winsorized"
"broad_money_w",0.853828921268828,0.204716096051377,4.17079525126616,0.000175823520730202,"HC1","winsorized"
"fx_depr_w",0.727325800651817,0.561543815567744,1.29522537776765,0.20326605400104,"HC1","winsorized"
"tot_growth",-0.224288545407607,0.271723359348886,-0.825429753058611,0.414418175209247,"HC1","winsorized"
"gov_cons_gdp",-2.97344975647391,3.83441509909039,-0.775463709492298,0.442994063671389,"HC1","winsorized"
"(Intercept)",22.8512299862441,42.3637218852903,0.539405627487574,0.592838457089679,"Newey-West","winsorized"
"broad_money_w",0.853828921268828,0.193175428149191,4.4199665011712,8.32278331885589e-05,"Newey-West","winsorized"
