"term","estimate","std.error","statistic","p.value","std_error_type","model","conf_low","conf_high"
"Broad money growth",1.0675566681869,0.0843540445830295,12.6556666424704,5.18611396666874e-15,"Newey-West","Full sample",0.902222740804166,1.23289059556964
"FX depreciation",2.02005075871899,1.24119983765036,1.62749840714048,0.112118602734603,"Newey-West","Full sample",-0.412700923075723,4.45280244051371
"Terms-of-trade growth",-2.1695434208163,2.41218801623289,-0.899408920953215,0.374251356382932,"Newey-West","Full sample",-6.89743193263276,2.55834509100016
"Gov. consumption share",-1.11336593927424,8.73083298929981,-0.127521158707163,0.899218485361666,"Newey-West","Full sample",-18.2257985983019,15.9990667197534
"Broad money growth",0.667872704858205,0.123514939006987,5.40722207554526,7.37709045508168e-06,"Newey-West","No hyperinflation",0.425783424404511,0.909961985311899
"FX depreciation",0.429562123310506,0.164255345329001,2.61520940125327,0.0138200040884781,"Newey-West","No hyperinflation",0.107621646465664,0.751502600155348
"Terms-of-trade growth",-0.358774643472044,0.23358299580014,-1.53596216301216,0.135028413853755,"Newey-West","No hyperinflation",-0.816597315240319,0.0990480282962306
"Gov. consumption share",0.870028380301905,1.32554438181492,0.656355526256068,0.516598651814834,"Newey-West","No hyperinflation",-1.72803860805534,3.46809536865915
"Broad money growth",1.00293057427969,0.0913908785594607,10.9740773924957,1.64228068783954e-06,"Newey-West","1980–1994",0.82380445230315,1.18205669625624
"FX depreciation",3.06192008517091,1.44505430529881,2.11889620614484,0.063150723571066,"Newey-West","1980–1994",0.229613646785248,5.89422652355657
"Terms-of-trade growth",-10.5043116644418,6.91405786594763,-1.51926869402938,0.163013145554254,"Newey-West","1980–1994",-24.0558650816992,3.04724175281551
"Gov. consumption share",-20.1413731490077,13.9080035730492,-1.44818579052119,0.181489606496743,"Newey-West","1980–1994",-47.401060152184,7.11831385416868
"Broad money growth",0.100762523003135,0.0413734511126628,2.43543915949267,0.0230373917986186,"Newey-West","1995–2022",0.0196705588223155,0.181854487183954
"FX depreciation",0.153215609975733,0.0873759048135005,1.75352244194511,0.0928313529215977,"Newey-West","1995–2022",-0.0180411634587277,0.324472383410194
"Terms-of-trade growth",-0.0810642984988915,0.0368957936884144,-2.19711491189161,0.0383517432915522,"Newey-West","1995–2022",-0.153380054128184,-0.00874854286959925
"Gov. consumption share",-0.655089898791467,0.368807325446843,-1.7762388477446,0.0889258996311877,"Newey-West","1995–2022",-1.37795225666728,0.0677724590843447
