"year","broad_money_growth","inflation_cpi","gov_cons_gdp","exrate_lcu_per_usd","tot_index","fx_depr","tot_growth","money_growth_l1","fx_depr_l1","tot_growth_l1","gov_cons_l1","post_stabilization","regime","high_infl_20","high_infl_100","infl_vol_5y","fx_vol_5y","log1p_inflation","inflation_cpi_w","fx_depr_w","broad_money_w"
1980,83.4891413778225,59.1450712444914,13.3615299026563,2.88855249998667e-07,150.2747679973,NA,NA,NA,NA,NA,NA,FALSE,"Pre-stabilization",TRUE,FALSE,NA,NA,4.09675949799087,59.1450712444914,NA,83.4891413778225
1981,68.678476250196,75.4332687576064,13.1256120391474,4.223179999985e-07,123.2293090901,37.9832887174073,-19.8418483805095,83.4891413778225,NA,NA,13.3615299026563,FALSE,"Pre-stabilization",TRUE,FALSE,NA,NA,4.33641805633198,75.4332687576064,37.9832887174073,68.678476250196
1982,71.9563197026022,64.4481585387929,13.8129329400685,6.97566749997667e-07,122.3794517793,50.1839623282869,-0.69204428995695,68.678476250196,37.9832887174073,-19.8418483805095,13.1256120391474,FALSE,"Pre-stabilization",TRUE,FALSE,NA,NA,4.18125835657115,64.4481585387929,50.1839623282869,71.9563197026022
1983,103.345493852182,111.150635209157,13.4517636112299,1.62863416666367e-06,118.1883746443,84.7898799937182,-3.4846731493217,71.9563197026022,50.1839623282869,-0.69204428995695,13.8129329400685,FALSE,"Hyperinflation",TRUE,TRUE,NA,NA,4.71984292487489,111.150635209157,84.7898799937182,103.345493852182
1984,127.219328088454,110.208519562543,11.7997926413524,3.46685416666492e-06,119.7570349467,75.5505873561448,1.31852346389074,103.345493852182,84.7898799937182,-3.4846731493217,13.4517636112299,FALSE,"Hyperinflation",TRUE,TRUE,24.9872198151895,21.7512740655427,4.71140699365279,110.208519562543,75.5505873561448,127.219328088454
1985,156.546456269228,163.399505243688,11.7228852406873,1.09749424999999e-05,104.4932242304,115.2367117213,-13.6342752108603,127.219328088454,75.5505873561448,1.31852346389074,11.7997926413524,FALSE,"Hyperinflation",TRUE,TRUE,38.7107179507279,30.3144888464863,5.10229947315093,163.399505243688,115.2367117213,156.546456269228
1986,53.9779955225038,77.9210255473595,12.4309304720086,1.39475e-05,79.0367292945,23.9685560969999,-27.9209557202119,156.546456269228,115.2367117213,-13.6342752108603,11.7228852406873,FALSE,"Pre-stabilization",TRUE,FALSE,38.2500926842491,34.6679398785674,4.36844767584139,77.9210255473595,23.9685560969999,53.9779955225038
1987,106.514896225381,85.8223062381846,12.2047640228817,1.68358333333333e-05,78.6725047327,18.8209270699902,-0.461894589238376,53.9779955225038,23.9685560969999,-27.9209557202119,12.4309304720086,FALSE,"Pre-stabilization",TRUE,FALSE,33.4142457416129,41.3339067224538,4.46386357296238,85.8223062381846,18.8209270699902,106.514896225381
1988,620.951252281666,667.019328585961,8.5077600860946,0.000128831666666667,85.5181710956,203.499709122763,8.34351544881899,106.514896225381,18.8209270699902,-0.461894589238376,12.2047640228817,FALSE,"Hyperinflation",TRUE,TRUE,251.629853763281,76.0280699926392,6.50431710812696,641.270412389567,200.39371793003,581.915629292484
1989,1917.28170515126,3398.67901005332,8.58435859444137,0.0026661875,72.9069074612,302.989818568305,-15.9545493715821,620.951252281666,203.499709122763,8.34351544881899,8.5077600860946,FALSE,"Hyperinflation",TRUE,TRUE,1429.74295171709,121.559606123454,8.13143629733961,641.270412389567,200.39371793003,581.915629292484
